 Epoch   |          losses           |   Recall@ 5   |    NDCG@ 5    |   Recall@10   |    NDCG@10    |   Recall@20   |    NDCG@20    |
/content/BundleMage/src/utils.py:44: UserWarning: torch.sparse.SparseTensor(indices, values, shape, *, device=) is deprecated.  Please use torch.sparse_coo_tensor(indices, values, shape, dtype=, device=). (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:621.)
  t = torch.sparse.FloatTensor(indices, torch.from_numpy(values).float(), [samples, features])
  1 Rec | 690.6377  83.4369 105.6319 | 0.3700 0.3780 | 0.2444 0.2576 | 0.5175 0.5038 | 0.2922 0.2985 | 0.6309 0.6297 | 0.3210 0.3303 |      13.87      13.87
  2 Rec | 621.8722  83.5490 105.7722 | 0.3406 0.3631 | 0.2392 0.2558 | 0.4836 0.4785 | 0.2854 0.2932 | 0.6179 0.6035 | 0.3195 0.3246 |      12.71      27.18
  3 Rec | 619.8550  83.5904 105.8241 | 0.3476 0.3614 | 0.2445 0.2600 | 0.4882 0.4816 | 0.2897 0.2990 | 0.6215 0.6121 | 0.3236 0.3319 |      12.81      40.33
  4 Rec | 613.0059  83.4906 105.6986 | 0.3515 0.3660 | 0.2493 0.2654 | 0.4952 0.4825 | 0.2952 0.3031 | 0.6212 0.6089 | 0.3274 0.3351 |      12.87      53.52
  5 Rec | 606.3511  83.2801 105.4368 | 0.3456 0.3549 | 0.2497 0.2621 | 0.4918 0.4819 | 0.2966 0.3033 | 0.6104 0.6047 | 0.3266 0.3343 |      12.67      66.51
  6 Rec | 598.0701  83.1583 105.2847 | 0.3614 0.3600 | 0.2581 0.2635 | 0.4963 0.4893 | 0.3015 0.3052 | 0.6176 0.6115 | 0.3324 0.3361 |      12.68      79.51
  7 Rec | 579.8207  83.1002 105.2117 | 0.3639 0.3629 | 0.2585 0.2657 | 0.5030 0.4930 | 0.3030 0.3079 | 0.6210 0.6172 | 0.3332 0.3395 |      12.84      92.67
  8 Rec | 567.5868  83.1216 105.2376 | 0.3776 0.3791 | 0.2692 0.2741 | 0.5098 0.4964 | 0.3119 0.3121 | 0.6217 0.6186 | 0.3403 0.3430 |      12.65     105.64
  9 Rec | 556.3038  82.9497 105.0210 | 0.3948 0.3942 | 0.2755 0.2835 | 0.5141 0.4987 | 0.3138 0.3173 | 0.6226 0.6144 | 0.3411 0.3465 |      12.64     118.63
 10 Rec | 545.9942  82.7416 104.7583 | 0.3860 0.3888 | 0.2596 0.2736 | 0.5039 0.4930 | 0.2975 0.3073 | 0.6140 0.6146 | 0.3254 0.3382 |      12.73     131.70
 11 Rec | 537.2328  82.5436 104.5111 | 0.3284 0.3506 | 0.2173 0.2352 | 0.4645 0.4717 | 0.2614 0.2744 | 0.6032 0.6081 | 0.2968 0.3090 |      12.77     144.79
 12 Rec | 529.6196  82.3946 104.3239 | 0.3181 0.3349 | 0.2068 0.2207 | 0.4692 0.4788 | 0.2559 0.2675 | 0.6115 0.6144 | 0.2921 0.3017 |      12.74     157.88
 13 Rec | 509.9926  82.2908 104.1946 | 0.3133 0.3261 | 0.2034 0.2130 | 0.4753 0.4711 | 0.2559 0.2603 | 0.6118 0.6175 | 0.2905 0.2973 |      12.64     170.86
 14 Rec | 502.5911  82.2419 104.1337 | 0.3199 0.3227 | 0.2062 0.2109 | 0.4809 0.4705 | 0.2587 0.2590 | 0.6077 0.6158 | 0.2909 0.2958 |      12.72     183.98
 15 Rec | 501.1203  82.1012 103.9573 | 0.3219 0.3221 | 0.2088 0.2096 | 0.4900 0.4816 | 0.2637 0.2614 | 0.6136 0.6166 | 0.2951 0.2955 |      12.66     197.07
 16 Rec | 488.1794  81.9909 103.8188 | 0.3206 0.3210 | 0.2076 0.2081 | 0.4958 0.4836 | 0.2646 0.2609 | 0.6194 0.6195 | 0.2960 0.2954 |      12.69     210.15
 17 Rec | 480.8797  81.8686 103.6651 | 0.3237 0.3273 | 0.2096 0.2120 | 0.4972 0.4899 | 0.2661 0.2648 | 0.6224 0.6257 | 0.2980 0.2993 |      12.58     223.14
 18 Rec | 478.8363  81.7404 103.5026 | 0.3309 0.3372 | 0.2143 0.2200 | 0.5082 0.5056 | 0.2719 0.2747 | 0.6323 0.6383 | 0.3034 0.3084 |      12.67     236.25
 19 Rec | 474.2536  81.5850 103.3075 | 0.3359 0.3446 | 0.2165 0.2224 | 0.5114 0.5127 | 0.2735 0.2768 | 0.6400 0.6454 | 0.3061 0.3104 |      12.73     249.36
 20 Rec | 464.9734  81.4027 103.0789 | 0.3370 0.3441 | 0.2167 0.2225 | 0.5139 0.5184 | 0.2742 0.2790 | 0.6440 0.6559 | 0.3072 0.3138 |      12.72     262.39
============================ CUR BEST ============================
  9 Rec | 556.3038  82.9497 105.0210 | 0.3948 0.3942 | 0.2755 0.2835 | 0.5141 0.4987 | 0.3138 0.3173 | 0.6226 0.6144 | 0.3411 0.3465 |      12.64     118.63
=================================================================
 21 Rec | 461.2291  81.2565 102.8946 | 0.3386 0.3509 | 0.2187 0.2268 | 0.5200 0.5261 | 0.2776 0.2835 | 0.6476 0.6639 | 0.3100 0.3185 |      12.99     275.75
 22 Rec | 464.7135  81.0707 102.6610 | 0.3485 0.3651 | 0.2256 0.2362 | 0.5276 0.5318 | 0.2837 0.2903 | 0.6562 0.6742 | 0.3164 0.3264 |      13.01     289.13
 23 Rec | 445.9640  80.9371 102.4926 | 0.3546 0.3714 | 0.2296 0.2405 | 0.5317 0.5380 | 0.2870 0.2948 | 0.6621 0.6790 | 0.3202 0.3306 |      12.75     302.21
 24 Rec | 451.5292  80.7603 102.2704 | 0.3562 0.3734 | 0.2306 0.2427 | 0.5319 0.5434 | 0.2876 0.2981 | 0.6691 0.6839 | 0.3226 0.3338 |      12.85     315.38
 25 Rec | 446.9645  80.5996 102.0671 | 0.3632 0.3819 | 0.2356 0.2482 | 0.5387 0.5517 | 0.2924 0.3033 | 0.6749 0.6901 | 0.3272 0.3385 |      12.81     328.53
 26 Rec | 445.3309  80.3834 101.7962 | 0.3661 0.3856 | 0.2376 0.2510 | 0.5441 0.5563 | 0.2952 0.3067 | 0.6797 0.6944 | 0.3297 0.3418 |      12.75     341.59
 27 Rec | 438.2537  80.2198 101.5903 | 0.3709 0.3905 | 0.2415 0.2547 | 0.5515 0.5588 | 0.2999 0.3096 | 0.6840 0.7018 | 0.3335 0.3459 |      12.79     354.70
 28 Rec | 439.7594  79.8962 101.1849 | 0.3666 0.3879 | 0.2395 0.2521 | 0.5509 0.5611 | 0.2991 0.3085 | 0.6860 0.7066 | 0.3336 0.3454 |      12.85     367.86
 29 Rec | 433.1085  79.6770 100.9088 | 0.3742 0.3928 | 0.2453 0.2549 | 0.5554 0.5651 | 0.3038 0.3111 | 0.6891 0.7115 | 0.3381 0.3482 |      12.73     380.93
 30 Rec | 434.4689  79.4172 100.5834 | 0.3756 0.3959 | 0.2474 0.2576 | 0.5624 0.5708 | 0.3077 0.3147 | 0.6914 0.7120 | 0.3408 0.3505 |      12.87     394.13
 31 Rec | 427.1492  79.1426 100.2386 | 0.3797 0.4027 | 0.2506 0.2638 | 0.5653 0.5805 | 0.3107 0.3216 | 0.6941 0.7146 | 0.3438 0.3556 |      12.83     407.30
 32 Rec | 425.4562  78.8625  99.8860 | 0.3851 0.4081 | 0.2548 0.2685 | 0.5750 0.5830 | 0.3161 0.3256 | 0.6977 0.7163 | 0.3474 0.3594 |      12.86     420.47
 33 Rec | 419.7330  78.5356  99.4774 | 0.3846 0.4053 | 0.2548 0.2672 | 0.5739 0.5873 | 0.3159 0.3265 | 0.6998 0.7195 | 0.3482 0.3600 |      12.69     433.49
 34 Rec | 423.0182  78.2023  99.0592 | 0.3855 0.4124 | 0.2562 0.2715 | 0.5739 0.5882 | 0.3171 0.3289 | 0.7018 0.7217 | 0.3499 0.3629 |      12.94     446.76
 35 Rec | 417.1002  77.9175  98.7013 | 0.3912 0.4204 | 0.2611 0.2780 | 0.5809 0.5973 | 0.3225 0.3355 | 0.7038 0.7254 | 0.3541 0.3680 |      12.74     459.82
 36 Rec | 418.3789  77.5518  98.2428 | 0.3943 0.4261 | 0.2632 0.2825 | 0.5849 0.5995 | 0.3248 0.3389 | 0.7049 0.7283 | 0.3557 0.3716 |      12.74     472.89
 37 Rec | 417.1950  77.2200  97.8255 | 0.4049 0.4352 | 0.2704 0.2907 | 0.5912 0.6021 | 0.3305 0.3452 | 0.7070 0.7294 | 0.3601 0.3776 |      12.81     486.03
 38 Rec | 411.9086  76.8634  97.3760 | 0.4135 0.4443 | 0.2765 0.2976 | 0.5928 0.6075 | 0.3344 0.3509 | 0.7119 0.7326 | 0.3649 0.3827 |      12.73     499.11
 39 Rec | 411.3966  76.4391  96.8438 | 0.4146 0.4497 | 0.2782 0.3034 | 0.5951 0.6104 | 0.3364 0.3557 | 0.7124 0.7348 | 0.3665 0.3872 |      12.87     512.32
 40 Rec | 405.8745  76.1439  96.4723 | 0.4221 0.4591 | 0.2847 0.3108 | 0.5964 0.6152 | 0.3410 0.3614 | 0.7142 0.7343 | 0.3712 0.3916 |      12.89     525.60
============================ CUR BEST ============================
 40 Rec | 405.8745  76.1439  96.4723 | 0.4221 0.4591 | 0.2847 0.3108 | 0.5964 0.6152 | 0.3410 0.3614 | 0.7142 0.7343 | 0.3712 0.3916 |      12.89     525.60
=================================================================
 41 Rec | 406.1548  75.7918  96.0282 | 0.4302 0.4677 | 0.2921 0.3185 | 0.6016 0.6189 | 0.3474 0.3676 | 0.7180 0.7363 | 0.3772 0.3974 |      12.74     538.80
 42 Rec | 411.1057  75.4183  95.5539 | 0.4397 0.4754 | 0.3020 0.3273 | 0.6021 0.6283 | 0.3545 0.3770 | 0.7205 0.7431 | 0.3850 0.4061 |      12.77     552.01
 43 Rec | 409.5408  74.9511  94.9618 | 0.4505 0.4785 | 0.3107 0.3323 | 0.6037 0.6306 | 0.3601 0.3820 | 0.7252 0.7474 | 0.3914 0.4115 |      12.85     565.32
 44 Rec | 402.9674  74.4838  94.3782 | 0.4476 0.4836 | 0.3108 0.3357 | 0.6055 0.6343 | 0.3620 0.3846 | 0.7257 0.7468 | 0.3930 0.4131 |      13.03     578.80
 45 Rec | 402.3144  74.1111  93.9079 | 0.4588 0.4913 | 0.3209 0.3456 | 0.6131 0.6406 | 0.3706 0.3940 | 0.7273 0.7485 | 0.4000 0.4214 |      12.92     592.06
 46 Rec | 403.8027  73.6570  93.3328 | 0.4706 0.5013 | 0.3302 0.3566 | 0.6222 0.6491 | 0.3791 0.4046 | 0.7293 0.7545 | 0.4066 0.4312 |      12.79     605.22
 47 Rec | 401.4830  73.2475  92.8127 | 0.4814 0.5167 | 0.3422 0.3713 | 0.6285 0.6525 | 0.3896 0.4154 | 0.7325 0.7596 | 0.4162 0.4425 |      12.85     618.43
 48 Rec | 398.7626  72.8586  92.3235 | 0.4848 0.5241 | 0.3453 0.3775 | 0.6352 0.6542 | 0.3939 0.4199 | 0.7336 0.7599 | 0.4191 0.4466 |      12.79     631.58
 49 Rec | 398.6913  72.5423  91.9201 | 0.4913 0.5338 | 0.3534 0.3875 | 0.6379 0.6579 | 0.4010 0.4279 | 0.7388 0.7647 | 0.4268 0.4550 |      12.77     644.72
 50 Rec | 397.5720  72.1280  91.3951 | 0.5012 0.5406 | 0.3626 0.3958 | 0.6465 0.6628 | 0.4097 0.4356 | 0.7406 0.7713 | 0.4336 0.4631 |      12.88     657.98
 51 Rec | 399.3675  71.6872  90.8361 | 0.5071 0.5463 | 0.3715 0.4024 | 0.6488 0.6702 | 0.4175 0.4428 | 0.7417 0.7747 | 0.4411 0.4692 |      12.77     671.12
 52 Rec | 397.9380  71.2959  90.3423 | 0.5127 0.5506 | 0.3753 0.4054 | 0.6461 0.6745 | 0.4185 0.4457 | 0.7462 0.7801 | 0.4440 0.4723 |      12.79     684.27
 53 Rec | 399.4670  71.0496  90.0245 | 0.5211 0.5588 | 0.3848 0.4168 | 0.6535 0.6810 | 0.4276 0.4565 | 0.7528 0.7818 | 0.4528 0.4821 |      12.81     697.44
 54 Rec | 392.3545  70.7515  89.6469 | 0.5240 0.5637 | 0.3872 0.4192 | 0.6562 0.6844 | 0.4301 0.4584 | 0.7566 0.7850 | 0.4556 0.4839 |      12.77     710.56
 55 Rec | 395.4136  70.4301  89.2357 | 0.5319 0.5713 | 0.3942 0.4269 | 0.6591 0.6858 | 0.4355 0.4641 | 0.7627 0.7887 | 0.4617 0.4902 |      12.90     723.81
 56 Rec | 391.1033  70.1152  88.8387 | 0.5362 0.5785 | 0.4012 0.4331 | 0.6630 0.6930 | 0.4423 0.4701 | 0.7647 0.7921 | 0.4681 0.4952 |      12.83     736.99
 57 Rec | 390.1618  69.9126  88.5847 | 0.5391 0.5799 | 0.4013 0.4363 | 0.6666 0.6970 | 0.4426 0.4742 | 0.7677 0.7949 | 0.4682 0.4991 |      12.79     750.14
 58 Rec | 394.4890  69.6578  88.2618 | 0.5400 0.5830 | 0.4036 0.4385 | 0.6711 0.7021 | 0.4459 0.4771 | 0.7724 0.7964 | 0.4717 0.5011 |      12.80     763.31
 59 Rec | 393.4218  69.4763  88.0295 | 0.5452 0.5870 | 0.4080 0.4431 | 0.6745 0.7095 | 0.4499 0.4829 | 0.7751 0.8029 | 0.4755 0.5066 |      12.80     776.47
 60 Rec | 395.1921  69.1440  87.6040 | 0.5497 0.5867 | 0.4143 0.4464 | 0.6725 0.7098 | 0.4540 0.4865 | 0.7801 0.8032 | 0.4815 0.5102 |      12.78     789.61
============================ CUR BEST ============================
 60 Rec | 395.1921  69.1440  87.6040 | 0.5497 0.5867 | 0.4143 0.4464 | 0.6725 0.7098 | 0.4540 0.4865 | 0.7801 0.8032 | 0.4815 0.5102 |      12.78     789.61
=================================================================
 61 Rec | 390.3547  68.8676  87.2559 | 0.5579 0.5961 | 0.4226 0.4528 | 0.6815 0.7163 | 0.4628 0.4920 | 0.7810 0.8066 | 0.4880 0.5149 |      12.76     802.72
 62 Rec | 387.9549  68.7900  87.1641 | 0.5565 0.5976 | 0.4207 0.4541 | 0.6819 0.7183 | 0.4616 0.4933 | 0.7812 0.8095 | 0.4868 0.5164 |      12.76     815.82
 63 Rec | 389.4269  68.6010  86.9248 | 0.5610 0.6038 | 0.4245 0.4594 | 0.6858 0.7209 | 0.4650 0.4973 | 0.7841 0.8106 | 0.4899 0.5201 |      12.72     828.86
 64 Rec | 387.2531  68.3400  86.5956 | 0.5601 0.6069 | 0.4274 0.4621 | 0.6898 0.7223 | 0.4694 0.4995 | 0.7877 0.8146 | 0.4942 0.5230 |      12.75     841.97
 65 Rec | 387.9246  68.2065  86.4279 | 0.5565 0.6047 | 0.4258 0.4623 | 0.6889 0.7223 | 0.4688 0.5007 | 0.7889 0.8134 | 0.4942 0.5240 |      12.70     855.04
 66 Rec | 390.1441  67.9998  86.1629 | 0.5610 0.6087 | 0.4305 0.4675 | 0.6896 0.7271 | 0.4723 0.5061 | 0.7893 0.8177 | 0.4976 0.5291 |      12.74     868.18
 67 Rec | 389.7212  67.8394  85.9622 | 0.5628 0.6078 | 0.4328 0.4686 | 0.6930 0.7289 | 0.4751 0.5081 | 0.7877 0.8177 | 0.4990 0.5308 |      12.80     881.41
 68 Rec | 380.9604  67.7122  85.8015 | 0.5664 0.6135 | 0.4337 0.4722 | 0.6937 0.7320 | 0.4751 0.5109 | 0.7898 0.8194 | 0.4994 0.5332 |      12.89     894.77
